method,regime_name,n_obs,mae,rmse,p95_abs_err,mean_err,rehedge_rate,total_tc
deltavega_const_time_bs,fast,31851,0.06569818422104405,0.12769686332379002,0.2688454719331803,-0.001833011413754948,1.0,84.85405946610197
deltavega_const_time_bs,slow,37815,0.05006158543092636,0.09563379369943845,0.1932038502651446,-0.0018419792134891392,1.0,90.60534659660763
deltavega_regime_bs,fast,31851,0.06569854904311215,0.12769484077247517,0.2689406634416085,-0.0018745451020817062,1.0,86.17694897299754
deltavega_regime_bs,slow,37815,0.050077131282411626,0.09561727978827034,0.19287654425397815,-0.0010996814580575655,0.16839878355150073,62.43605934993797
deltavega_regime_model,fast,31851,0.06616012489777862,0.12774872850706948,0.2693609460710409,-0.0024391507036242766,1.0,102.71763515747706
deltavega_regime_model,slow,37815,0.050253570963319866,0.09566716852673272,0.1936248099077479,-0.0011108371531214835,0.1960862091762528,65.72289067272075
